Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
0.0025, 0.00272728, 0, 0.00272728
0.0075, 0.00557153, 0, 0.00557153
0.0125, 0.0102123, 0, 0.0102123
0.0175, 0.0178062, 0, 0.0178062
0.0225, 0.0296898, 0, 0.0296898
0.0275, 0.0475397, 0, 0.0475397
0.0325, 0.073344, 0, 0.073344
0.0375, 0.109345, 0, 0.109345
0.0425, 0.157951, 0, 0.157951
0.0475, 0.224193, 0, 0.224193
0.0525, 0.305767, 0, 0.305767
0.0575, 0.407268, 0, 0.407268
0.0625, 0.531079, 0, 0.531079
0.0675, 0.679615, 0, 0.679615
0.0725, 0.855382, 0, 0.855382
0.0775, 1.061, 0, 1.061
0.0825, 1.2992, 0, 1.2992
0.0875, 1.5727, 0, 1.5727
0.0925, 1.88417, 0, 1.88417
0.0975, 2.23609, 0, 2.23609
0.1025, 2.63068, 0, 2.63068
0.1075, 3.06986, 0, 3.06986
0.1125, 3.55523, 0, 3.55523
0.1175, 4.088, 0, 4.088
0.1225, 4.669, 0, 4.669
0.1275, 5.29853, 0, 5.29853
0.1325, 5.97633, 0, 5.97633
0.1375, 6.70145, 0, 6.70145
0.1425, 7.47225, 0, 7.47225
0.1475, 8.28669, 0, 8.28669
0.1525, 9.14169, 0, 9.14169
0.1575, 10.034, 0, 10.034
0.1625, 10.9601, 0, 10.9601
0.1675, 11.9164, 0, 11.9164
0.1725, 12.8993, 0, 12.8993
0.1775, 13.9054, 0, 13.9054
0.1825, 14.9315, 0, 14.9315
0.1875, 15.9771, 0, 15.9771
0.1925, 17.0351, 0, 17.0351
0.1975, 18.1051, 0, 18.1051
0.2025, 19.1847, 0, 19.1847
0.2075, 20.2968, 0, 20.2968
0.2125, 21.3721, 0, 21.3721
0.2175, 22.4349, 0, 22.4349
0.2225, 23.4723, 0, 23.4723
0.2275, 24.4655, 0, 24.4655
0.2325, 25.3892, 0, 25.3892
0.2375, 26.2104, 0, 26.2104
0.2425, 26.8889, 0, 26.8889
0.2475, 27.3799, 0, 27.3799
0.2525, 27.6381, 0, 27.6381
0.2575, 27.6243, 0, 27.6243
0.2625, 27.3127, 0, 27.3127
0.2675, 26.6985, 0, 26.6985
0.2725, 25.8032, 0, 25.8032
0.2775, 24.6764, 0, 24.6764
0.2825, 23.393, 0, 23.393
0.2875, 22.0456, 0, 22.0456
0.2925, 20.7333, 0, 20.7333
0.2975, 19.5501, 0, 19.5501
0.3025, 18.5731, 0, 18.5731
0.3075, 17.8553, 0, 17.8553
0.3125, 17.4226, 0, 17.4226
0.3175, 17.2748, 0, 17.2748
0.3225, 17.3913, 0, 17.3913
0.3275, 17.7374, 0, 17.7374
0.3325, 18.2703, 0, 18.2703
0.3375, 18.9497, 0, 18.9497
0.3425, 19.7376, 0, 19.7376
0.3475, 20.6019, 0, 20.6019
0.3525, 21.5168, 0, 21.5168
0.3575, 22.4869, 0, 22.4869
0.3625, 23.4488, 0, 23.4488
0.3675, 24.4244, 0, 24.4244
0.3725, 25.3904, 0, 25.3904
0.3775, 26.3433, 0, 26.3433
0.3825, 27.3086, 0, 27.3086
0.3875, 28.2313, 0, 28.2313
0.3925, 29.1402, 0, 29.1402
0.3975, 30.0396, 0, 30.0396
0.4025, 30.9359, 0, 30.9359
0.4075, 31.8364, 0, 31.8364
0.4125, 32.7492, 0, 32.7492
0.4175, 33.6815, 0, 33.6815
0.4225, 34.6391, 0, 34.6391
0.4275, 35.6257, 0, 35.6257
0.4325, 36.6429, 0, 36.6429
0.4375, 37.6903, 0, 37.6903
0.4425, 38.7654, 0, 38.7654
0.4475, 39.8649, 0, 39.8649
0.4525, 40.9836, 0, 40.9836
0.4575, 42.1074, 0, 42.1074
0.4625, 43.2346, 0, 43.2346
0.4675, 44.3567, 0, 44.3567
0.4725, 45.4637, 0, 45.4637
0.4775, 46.5434, 0, 46.5434
0.4825, 47.5821, 0, 47.5821
0.4875, 48.5642, 0, 48.5642
0.4925, 49.4707, 0, 49.4707
0.4975, 50.2843, 0, 50.2843
0.5025, 50.9896, 0, 50.9896
0.5075, 51.5753, 0, 51.5753
0.5125, 52.0369, 0, 52.0369
0.5175, 52.3782, 0, 52.3782
0.5225, 52.6132, 0, 52.6132
0.5275, 52.7649, 0, 52.7649
0.5325, 52.8647, 0, 52.8647
0.5375, 52.9492, 0, 52.9492
0.5425, 53.0844, 0, 53.0844
0.5475, 53.2511, 0, 53.2511
0.5525, 53.5057, 0, 53.5057
0.5575, 53.8692, 0, 53.8692
0.5625, 54.3974, 0, 54.3974
0.5675, 55.0049, 0, 55.0049
0.5725, 55.7286, 0, 55.7286
0.5775, 56.5564, 0, 56.5564
0.5825, 57.4727, 0, 57.4727
0.5875, 58.4606, 0, 58.4606
0.5925, 59.5041, 0, 59.5041
0.5975, 60.5887, 0, 60.5887
0.6025, 61.7027, 0, 61.7027
0.6075, 62.8366, 0, 62.8366
0.6125, 63.9838, 0, 63.9838
0.6175, 65.14, 0, 65.14
0.6225, 66.3068, 0, 66.3068
0.6275, 67.4738, 0, 67.4738
0.6325, 68.641, 0, 68.641
0.6375, 69.8081, 0, 69.8081
0.6425, 70.9751, 0, 70.9751
0.6475, 72.1417, 0, 72.1417
0.6525, 73.3078, 0, 73.3078
0.6575, 74.4733, 0, 74.4733
0.6625, 75.6381, 0, 75.6381
0.6675, 76.8019, 0, 76.8019
0.6725, 77.9647, 0, 77.9647
0.6775, 79.1263, 0, 79.1263
0.6825, 80.2866, 0, 80.2866
0.6875, 81.4456, 0, 81.4456
0.6925, 82.603, 0, 82.603
0.6975, 83.7588, 0, 83.7588
0.7025, 84.913, 0, 84.913
0.7075, 86.0654, 0, 86.0654
0.7125, 87.2159, 0, 87.2159
0.7175, 88.3645, 0, 88.3645
0.7225, 89.5111, 0, 89.5111
0.7275, 90.6557, 0, 90.6557
0.7325, 91.8425, 0, 91.8425
0.7375, 92.9841, 0, 92.9841
0.7425, 94.1236, 0, 94.1236
0.7475, 95.2608, 0, 95.2608
0.7525, 96.3958, 0, 96.3958
0.7575, 97.5978, 0, 97.5978
0.7625, 98.7296, 0, 98.7296
0.7675, 99.8591, 0, 99.8591
0.7725, 100.986, 0, 100.986
0.7775, 102.111, 0, 102.111
0.7825, 103.233, 0, 103.233
0.7875, 104.353, 0, 104.353
0.7925, 105.471, 0, 105.471
0.7975, 106.586, 0, 106.586
0.8025, 107.699, 0, 107.699
0.8075, 108.809, 0, 108.809
0.8125, 109.917, 0, 109.917
0.8175, 111.022, 0, 111.022
0.8225, 112.125, 0, 112.125
0.8275, 113.226, 0, 113.226
0.8325, 114.324, 0, 114.324
0.8375, 115.42, 0, 115.42
0.8425, 116.514, 0, 116.514
0.8475, 117.605, 0, 117.605
0.8525, 118.694, 0, 118.694
0.8575, 119.78, 0, 119.78
0.8625, 120.865, 0, 120.865
0.8675, 121.947, 0, 121.947
0.8725, 123.027, 0, 123.027
0.8775, 124.105, 0, 124.105
0.8825, 125.181, 0, 125.181
0.8875, 126.255, 0, 126.255
0.8925, 127.326, 0, 127.326
0.8975, 128.396, 0, 128.396
0.9025, 129.463, 0, 129.463
0.9075, 130.529, 0, 130.529
0.9125, 131.592, 0, 131.592
0.9175, 132.653, 0, 132.653
0.9225, 133.713, 0, 133.713
0.9275, 134.77, 0, 134.77
0.9325, 135.825, 0, 135.825
0.9375, 136.948, 0, 136.948
0.9425, 138.001, 0, 138.001
0.9475, 139.051, 0, 139.051
0.9525, 140.101, 0, 140.101
0.9575, 141.148, 0, 141.148
0.9625, 142.285, 0, 142.285
0.9675, 143.33, 0, 143.33
0.9725, 144.373, 0, 144.373
0.9775, 145.415, 0, 145.415
0.9825, 146.455, 0, 146.455
0.9875, 147.494, 0, 147.494
0.9925, 148.531, 0, 148.531
0.9975, 149.566, 0, 149.566
1.0025, 150.6, 0, 150.6
1.0075, 151.633, 0, 151.633
1.0125, 152.664, 0, 152.664
1.0175, 153.693, 0, 153.693
1.0225, 154.721, 0, 154.721
1.0275, 155.747, 0, 155.747
1.0325, 156.772, 0, 156.772
1.0375, 157.795, 0, 157.795
1.0425, 158.816, 0, 158.816
1.0475, 159.836, 0, 159.836
1.0525, 160.854, 0, 160.854
1.0575, 161.871, 0, 161.871
1.0625, 162.886, 0, 162.886
1.0675, 163.899, 0, 163.899
1.0725, 164.91, 0, 164.91
1.0775, 165.92, 0, 165.92
1.0825, 166.929, 0, 166.929
1.0875, 167.936, 0, 167.936
1.0925, 168.941, 0, 168.941
1.0975, 169.945, 0, 169.945
1.1025, 170.947, 0, 170.947
1.1075, 171.948, 0, 171.948
1.1125, 172.947, 0, 172.947
1.1175, 173.945, 0, 173.945
1.1225, 174.941, 0, 174.941
1.1275, 175.936, 0, 175.936
1.1325, 176.93, 0, 176.93
1.1375, 177.923, 0, 177.923
1.1425, 178.914, 0, 178.914
1.1475, 179.904, 0, 179.904
1.1525, 180.984, 0, 180.984
1.1575, 181.973, 0, 181.973
1.1625, 182.96, 0, 182.96
1.1675, 183.947, 0, 183.947
