Depth (A), Ag Line La , Ag Line Lb1, Ag Line Lb2, Ag Line Lg 
0, 1.42281, 1.42292, 1.42254, 1.42148
10.5809, 1.4672, 1.46743, 1.46664, 1.46436
21.1618, 1.50673, 1.50712, 1.50581, 1.5021
31.7428, 1.49176, 1.49229, 1.4905, 1.48541
42.3237, 1.50061, 1.5013, 1.49899, 1.49241
52.9046, 1.5161, 1.51695, 1.5141, 1.50599
63.4855, 1.48751, 1.48849, 1.48518, 1.47579
74.0664, 1.47107, 1.47219, 1.46842, 1.45771
84.6473, 1.4467, 1.44795, 1.44374, 1.43182
95.2283, 1.4122, 1.41356, 1.40897, 1.39598
105.809, 1.39038, 1.39186, 1.38687, 1.37273
116.39, 1.35371, 1.35529, 1.34996, 1.33489
126.971, 1.33004, 1.33173, 1.32604, 1.30995
137.552, 1.28578, 1.28754, 1.2816, 1.26481
148.133, 1.25068, 1.25252, 1.24631, 1.22878
158.714, 1.21767, 1.21958, 1.21312, 1.19489
169.295, 1.18619, 1.18818, 1.18148, 1.16259
179.876, 1.15355, 1.1556, 1.14869, 1.12921
190.457, 1.09894, 1.10101, 1.09405, 1.07445
201.037, 1.06572, 1.06783, 1.06073, 1.04071
211.618, 0.997529, 0.999606, 0.99261, 0.972927
222.199, 0.927341, 0.929366, 0.922546, 0.903369
232.78, 0.881721, 0.883737, 0.876949, 0.857877
243.361, 0.827429, 0.829405, 0.822751, 0.804067
253.942, 0.797991, 0.799977, 0.79329, 0.774526
264.523, 0.763385, 0.765364, 0.758704, 0.74003
275.104, 0.721417, 0.72336, 0.716821, 0.698495
285.685, 0.66543, 0.66729, 0.661032, 0.643508
296.266, 0.607696, 0.609456, 0.603533, 0.586954
306.847, 0.557433, 0.559104, 0.553481, 0.537753
317.428, 0.515291, 0.516888, 0.511514, 0.496492
328.008, 0.483392, 0.48494, 0.479733, 0.46519
338.589, 0.444537, 0.446006, 0.441065, 0.427272
349.17, 0.415872, 0.417288, 0.412525, 0.399239
359.751, 0.374416, 0.375729, 0.371313, 0.359002
370.332, 0.353243, 0.354518, 0.350231, 0.338289
