X (nm), Y (nm), Z (nm), Corrected X (nm), Corrected Y (nm), Corrected Z (nm), E (keV), DeltaE (keV), Theta (rad), Corrected Theta (rad), Phi (rad), Corrected Phi (rad)
0.453609, 0.0596047, 2.22045e-017, 0.453609, 0.0596047, 2.22045e-017, 0.935906, 0.0640942, 2.76225, 2.76225, 3.33052, 3.33052
0.365176, -0.00216154, 0, 0.365176, -0.00216154, 0, 0.966198, 0.0338017, 2.35171, 2.35171, 0.0249569, 0.0249569
-0.767463, 1.88989, 0, -0.767463, 1.88989, 0, 0.63145, 0.36855, 2.76785, 2.76785, 2.39845, 2.39845
-3.35336, -3.96184, 0, -3.35336, -3.96184, 0, 0.383964, 0.616036, 2.4836, 2.4836, 2.85691, 2.85691
3.31961, 3.39605, 0, 3.31961, 3.39605, 0, 0.322358, 0.677642, 2.95603, 2.95603, 0.252206, 0.252206
-0.655874, 0.155938, 0, -0.655874, 0.155938, 0, 0.847933, 0.152067, 2.23451, 2.23451, 2.61529, 2.61529
1.54369, 0.861325, 0, 1.54369, 0.861325, 0, 0.876791, 0.123209, 2.56688, 2.56688, 1.08212, 1.08212
1.36668, 1.96096, 0, 1.36668, 1.96096, 0, 0.854276, 0.145724, 1.96186, 1.96186, 1.09967, 1.09967
-2.41499, -3.80539, 0, -2.41499, -3.80539, 0, 0.529408, 0.470592, 2.15224, 2.15224, 3.90438, 3.90438
2.33694, -0.0921617, 0, 2.33694, -0.0921617, 0, 0.45715, 0.54285, 2.46423, 2.46423, 3.23642, 3.23642
-2.92924, 2.24934, 0, -2.92924, 2.24934, 0, 0.68374, 0.31626, 2.42983, 2.42983, 2.47317, 2.47317
0.745075, 1.08916, 0, 0.745075, 1.08916, 0, 0.810485, 0.189515, 2.06657, 2.06657, 0.60198, 0.60198
1.44153, -3.76232, 0, 1.44153, -3.76232, 0, 0.33738, 0.66262, 2.51443, 2.51443, 5.65259, 5.65259
-1.56032, 2.17069, 0, -1.56032, 2.17069, 0, 0.53218, 0.46782, 2.09172, 2.09172, 0.935889, 0.935889
0.266516, 1.07766, 0, 0.266516, 1.07766, 0, 0.727631, 0.272369, 2.65352, 2.65352, 0.146535, 0.146535
-1.68526, -2.14882, 8.88178e-017, -1.68526, -2.14882, 8.88178e-017, 0.729914, 0.270086, 2.4633, 2.4633, 4.14192, 4.14192
0.298484, 0.899336, 0, 0.298484, 0.899336, 0, 0.811869, 0.188131, 2.02717, 2.02717, 1.43694, 1.43694
1.88356, -3.63954, 0, 1.88356, -3.63954, 0, 0.670901, 0.329099, 2.12638, 2.12638, 5.38288, 5.38288
1.21541, 0.85233, 0, 1.21541, 0.85233, 0, 0.745795, 0.254205, 2.84198, 2.84198, 1.64004, 1.64004
-1.22295, -2.77159, 0, -1.22295, -2.77159, 0, 0.732863, 0.267137, 2.79948, 2.79948, 3.20937, 3.20937
0.705829, -0.000681798, 0, 0.705829, -0.000681798, 0, 0.913145, 0.086855, 2.52146, 2.52146, 0.0262567, 0.0262567
4.61978, -1.31418, 0, 4.61978, -1.31418, 0, 0.391986, 0.608014, 2.41199, 2.41199, 2.46769, 2.46769
-0.127573, -0.453094, 0, -0.127573, -0.453094, 0, 0.965414, 0.0345863, 2.06486, 2.06486, 4.43794, 4.43794
0.025742, -5.75659, 0, 0.025742, -5.75659, 0, 0.609857, 0.390143, 2.66504, 2.66504, 5.53368, 5.53368
0.0350605, 1.71805, 0, 0.0350605, 1.71805, 0, 0.703243, 0.296757, 2.24604, 2.24604, 0.6554, 0.6554
1.45735, 1.61335, 0, 1.45735, 1.61335, 0, 0.36415, 0.63585, 2.48398, 2.48398, 3.75374, 3.75374
-0.361689, -2.12883, 0, -0.361689, -2.12883, 0, 0.497779, 0.502221, 2.56534, 2.56534, 2.68227, 2.68227
4.59276, -3.96539, 0, 4.59276, -3.96539, 0, 0.11339, 0.88661, 2.56275, 2.56275, 5.22152, 5.22152
0.618646, -3.83441, 0, 0.618646, -3.83441, 0, 0.646326, 0.353674, 2.53047, 2.53047, 0.962286, 0.962286
0.600053, 3.31407, 0, 0.600053, 3.31407, 0, 0.746956, 0.253044, 2.25867, 2.25867, 1.77597, 1.77597
1.12838, -0.605329, 0, 1.12838, -0.605329, 0, 0.69097, 0.30903, 2.52653, 2.52653, 5.66667, 5.66667
1.53757, -0.324346, 0, 1.53757, -0.324346, 0, 0.584755, 0.415245, 2.17403, 2.17403, 4.92387, 4.92387
-0.673547, -0.937681, 0, -0.673547, -0.937681, 0, 0.802264, 0.197736, 1.75731, 1.75731, 5.10295, 5.10295
-0.740001, -1.00349, 0, -0.740001, -1.00349, 0, 0.871621, 0.128379, 2.03674, 2.03674, 2.22236, 2.22236
-3.84363, 2.91282, 0, -3.84363, 2.91282, 0, 0.160937, 0.839063, 2.86248, 2.86248, 0.661473, 0.661473
0.347304, -0.922382, 0, 0.347304, -0.922382, 0, 0.893855, 0.106145, 2.5659, 2.5659, 5.09946, 5.09946
0.0273315, 0.168526, 0, 0.0273315, 0.168526, 0, 0.924099, 0.0759011, 3.0837, 3.0837, 3.40994, 3.40994
-0.193391, 0.94033, 0, -0.193391, 0.94033, 0, 0.914532, 0.0854679, 2.02941, 2.02941, 1.97133, 1.97133
1.83867, -5.73816, 0, 1.83867, -5.73816, 0, 0.606939, 0.393061, 2.16498, 2.16498, 4.46014, 4.46014
0.427096, -2.3639, 4.44089e-017, 0.427096, -2.3639, 4.44089e-017, 0.834813, 0.165187, 1.89881, 1.89881, 4.86542, 4.86542
0.0291078, 0.0512725, 0, 0.0291078, 0.0512725, 0, 0.995258, 0.00474175, 2.14492, 2.14492, 1.05446, 1.05446
2.3363, 2.76201, 0, 2.3363, 2.76201, 0, 0.70772, 0.29228, 2.29674, 2.29674, 5.71463, 5.71463
0.793013, -1.4718, 0, 0.793013, -1.4718, 0, 0.907832, 0.0921683, 1.92293, 1.92293, 5.21892, 5.21892
-0.477957, -0.587695, 0, -0.477957, -0.587695, 0, 0.810081, 0.189919, 2.12146, 2.12146, 4.48536, 4.48536
-1.30076, -0.838066, 0, -1.30076, -0.838066, 0, 0.924636, 0.0753639, 1.66645, 1.66645, 3.82564, 3.82564
0.177719, -0.597282, 0, 0.177719, -0.597282, 0, 0.87196, 0.12804, 2.66912, 2.66912, 5.18596, 5.18596
2.76496, -2.03975, 0, 2.76496, -2.03975, 0, 0.754961, 0.245039, 2.64776, 2.64776, 3.79624, 3.79624
-0.709467, -0.751303, 0, -0.709467, -0.751303, 0, 0.651037, 0.348963, 2.472, 2.472, 6.128, 6.128
4.39682, -0.763413, 0, 4.39682, -0.763413, 0, 0.626601, 0.373399, 2.34212, 2.34212, 5.1346, 5.1346
0.575501, -0.835808, 0, 0.575501, -0.835808, 0, 0.73328, 0.26672, 2.02485, 2.02485, 4.83964, 4.83964
1.04475, -0.287762, 0, 1.04475, -0.287762, 0, 0.916837, 0.0831629, 2.09624, 2.09624, 6.01679, 6.01679
1.50442, -0.909986, 0, 1.50442, -0.909986, 0, 0.781428, 0.218572, 2.59225, 2.59225, 5.51872, 5.51872
2.98001, 3.56049, 4.44089e-017, 2.98001, 3.56049, 4.44089e-017, 0.499837, 0.500163, 2.70304, 2.70304, 2.44003, 2.44003
0.100029, -0.731819, 0, 0.100029, -0.731819, 0, 0.931048, 0.0689523, 2.16753, 2.16753, 5.0945, 5.0945
-1.97094, -0.856855, 0, -1.97094, -0.856855, 0, 0.671534, 0.328466, 2.46795, 2.46795, 4.05978, 4.05978
0.892355, -1.06809, 0, 0.892355, -1.06809, 0, 0.918452, 0.0815477, 1.87756, 1.87756, 5.53094, 5.53094
-0.669297, -0.365255, 0, -0.669297, -0.365255, 0, 0.852616, 0.147384, 2.85645, 2.85645, 3.78588, 3.78588
-0.198945, -0.210888, 0, -0.198945, -0.210888, 0, 0.674415, 0.325585, 2.1951, 2.1951, 5.5172, 5.5172
-1.62434, -0.0459847, 0, -1.62434, -0.0459847, 0, 0.809415, 0.190585, 2.41879, 2.41879, 3.03076, 3.03076
-2.04037, 1.06943, 0, -2.04037, 1.06943, 0, 0.734842, 0.265158, 2.45303, 2.45303, 1.87381, 1.87381
1.16018, 0.0424271, 0, 1.16018, 0.0424271, 0, 0.891367, 0.108633, 2.23967, 2.23967, 5.98632, 5.98632
-0.873451, -0.468906, 0, -0.873451, -0.468906, 0, 0.811712, 0.188288, 2.551, 2.551, 4.04342, 4.04342
-0.119703, 0.0859284, 0, -0.119703, 0.0859284, 0, 0.968215, 0.0317849, 2.74015, 2.74015, 2.51899, 2.51899
-0.543464, 0.191189, 0, -0.543464, 0.191189, 0, 0.712875, 0.287125, 2.06393, 2.06393, 3.40965, 3.40965
-5.82944, -3.35527, 0, -5.82944, -3.35527, 0, 0.195047, 0.804953, 2.30325, 2.30325, 5.9355, 5.9355
0.415511, 0.069574, 0, 0.415511, 0.069574, 0, 0.954353, 0.0456471, 2.38491, 2.38491, 0.321294, 0.321294
-1.85129, -0.155854, 0, -1.85129, -0.155854, 0, 0.744494, 0.255506, 2.29172, 2.29172, 0.75704, 0.75704
0.237515, 0.0837968, 2.77556e-018, 0.237515, 0.0837968, 2.77556e-018, 0.987638, 0.0123619, 1.67053, 1.67053, 0.30518, 0.30518
1.57367, -0.00276204, 0, 1.57367, -0.00276204, 0, 0.766884, 0.233116, 2.87621, 2.87621, 4.85162, 4.85162
0.813405, 0.71429, 0, 0.813405, 0.71429, 0, 0.907888, 0.0921116, 2.14063, 2.14063, 1.35122, 1.35122
-0.813031, 1.26815, 0, -0.813031, 1.26815, 0, 0.839606, 0.160394, 2.13952, 2.13952, 5.7356, 5.7356
2.7403, -5.89285, 0, 2.7403, -5.89285, 0, 0.524273, 0.475727, 1.92605, 1.92605, 5.58823, 5.58823
-3.13412, 2.04644, 1.77636e-016, -3.13412, 2.04644, 1.77636e-016, 0.565579, 0.434421, 2.27975, 2.27975, 2.76474, 2.76474
0.00329986, -1.99131, 0, 0.00329986, -1.99131, 0, 0.0830324, 0.916968, 2.99086, 2.99086, 0.750959, 0.750959
0.185924, 0.108734, 0, 0.185924, 0.108734, 0, 0.972752, 0.0272482, 2.3952, 2.3952, 0.48344, 0.48344
4.93239, -1.99317, 0, 4.93239, -1.99317, 0, 0.518231, 0.481769, 2.79014, 2.79014, 3.67716, 3.67716
0.903983, 0.290356, 0, 0.903983, 0.290356, 0, 0.847329, 0.152671, 2.53099, 2.53099, 0.324582, 0.324582
