Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
0.0025, 1.01072e-005, 0, 1.01072e-005
0.0075, 3.03217e-005, 0, 3.03217e-005
0.0125, 3.62159e-007, 0, 3.62159e-007
0.0175, 3.36757e-010, 0, 3.36757e-010
0.0225, 1.06476e-009, 0, 1.06476e-009
0.0275, 9.44481e-007, 0, 9.44481e-007
0.0325, 0.000112452, 0, 0.000112452
0.0375, 0.00262763, 0, 0.00262763
0.0425, 0.0320218, 0, 0.0320218
0.0475, 0.186195, 0, 0.186195
0.0525, 0.72373, 0, 0.72373
0.0575, 1.96018, 0, 1.96018
0.0625, 4.42575, 0, 4.42575
0.0675, 8.94533, 0, 8.94533
0.0725, 13.6362, 0, 13.6362
0.0775, 17.4804, 0, 17.4804
0.0825, 22.7887, 0, 22.7887
0.0875, 28.0332, 0, 28.0332
0.0925, 34.3097, 0, 34.3097
0.0975, 40.5448, 0, 40.5448
0.1025, 47.2571, 0, 47.2571
0.1075, 54.0915, 0, 54.0915
0.1125, 60.5496, 0, 60.5496
0.1175, 66.4749, 0, 66.4749
0.1225, 71.8191, 0, 71.8191
0.1275, 78.0079, 0, 78.0079
0.1325, 84.8338, 0, 84.8338
0.1375, 91.255, 0, 91.255
0.1425, 97.0939, 0, 97.0939
0.1475, 102.364, 0, 102.364
0.1525, 107.229, 0, 107.229
0.1575, 111.786, 0, 111.786
0.1625, 115.744, 0, 115.744
0.1675, 119.119, 0, 119.119
0.1725, 121.894, 0, 121.894
0.1775, 124.16, 0, 124.16
0.1825, 127.042, 0, 127.042
0.1875, 130.306, 0, 130.306
0.1925, 132.99, 0, 132.99
0.1975, 134.915, 0, 134.915
0.2025, 136.063, 0, 136.063
0.2075, 136.557, 0, 136.557
0.2125, 136.308, 0, 136.308
0.2175, 135.444, 0, 135.444
0.2225, 133.883, 0, 133.883
0.2275, 131.588, 0, 131.588
0.2325, 128.699, 0, 128.699
0.2375, 128.297, 0, 128.297
0.2425, 129.359, 0, 129.359
0.2475, 130.21, 0, 130.21
0.2525, 130.979, 0, 130.979
0.2575, 131.556, 0, 131.556
0.2625, 131.951, 0, 131.951
0.2675, 132.209, 0, 132.209
0.2725, 132.492, 0, 132.492
0.2775, 132.618, 0, 132.618
0.2825, 2046.62, 1952.49, 94.1349
0.2875, 31.0517, 0, 31.0517
0.2925, 32.6717, 0, 32.6717
0.2975, 34.2436, 0, 34.2436
0.3025, 35.7609, 0, 35.7609
0.3075, 37.2178, 0, 37.2178
0.3125, 38.6106, 0, 38.6106
0.3175, 39.9359, 0, 39.9359
0.3225, 41.1889, 0, 41.1889
0.3275, 42.3659, 0, 42.3659
0.3325, 43.4646, 0, 43.4646
0.3375, 44.4835, 0, 44.4835
0.3425, 45.4212, 0, 45.4212
0.3475, 46.2763, 0, 46.2763
0.3525, 47.0487, 0, 47.0487
0.3575, 47.7295, 0, 47.7295
0.3625, 48.3136, 0, 48.3136
0.3675, 48.8116, 0, 48.8116
0.3725, 49.2271, 0, 49.2271
0.3775, 49.5923, 0, 49.5923
