Channel index,Channel reference energy (keV),Channel synthetic energy (keV),Simulated intensity,Detected intensity,E_Net peak 0,P_B (continuum),P_B_pm_avg (continuum)
0,0,0,1348,0.169245,1323,9.64697e-018,0.000976563
1,0.0195313,0.0195313,536,1.26138,524,5.31761e-008,0.00195313
2,0.0390625,0.0390625,263,5.39173,258,1.22992e-005,0.00292969
3,0.0585938,0.0585938,123,15.5625,118,0.000181579,0.00390625
4,0.078125,0.078125,65,34.536,61,0.000564337,0.00488281
5,0.0976563,0.0976563,33,65.5843,33,0.0014193,0.00585938
6,0.117188,0.117188,33,109.651,31,0.00293937,0.00683594
7,0.136719,0.136719,39,161.624,34,0.00546273,0.0078125
8,0.15625,0.15625,34,210.5,30,0.00888859,0.00878906
9,0.175781,0.175781,26,247.597,19,0.0128301,0.00976563
10,0.195313,0.195313,46,723.304,38,0.0171241,0.0107422
11,0.214844,0.214844,157,4547.46,148,0.021619,0.0117188
12,0.234375,0.234375,546,21231.1,541,0.0261845,0.0126953
13,0.253906,0.253906,1383,53839.9,1379,0.0307137,0.0136719
14,0.273438,0.273438,1640,71544.2,1634,0.0351207,0.0146484
15,0.292969,0.292969,1132,49584,1126,0.0363648,0.015625
16,0.3125,0.3125,390,17940.6,388,0.0377221,0.0166016
17,0.332031,0.332031,66,3442.77,62,0.0391519,0.0175781
18,0.351563,0.351563,8,419.465,6,0.0406087,0.0185547
19,0.371094,0.371094,5,89.7203,2,0.042044,0.0195313
20,0.390625,0.390625,5,83.8424,0,0.0434088,0.0205078
21,0.410156,0.410156,2,75.124,0,0.0445561,0.0214844
22,0.429688,0.429688,3,66.0053,0,0.045563,0.0224609
23,0.449219,0.449219,0,59.4314,0,0.0463887,0.0234375
24,0.46875,0.46875,2,57.4931,0,0.0471739,0.0244141
25,0.488281,0.488281,2,59.5365,0,0.0480929,0.0253906
26,0.507813,0.507813,1,62.7149,0,0.0491509,0.0263672
27,0.527344,0.527344,3,65.9406,0,0.050068,0.0273438
28,0.546875,0.546875,0,70.7868,0,0.0511186,0.0283203
29,0.566406,0.566406,4,78.0668,0,0.0523075,0.0292969
30,0.585938,0.585938,3,86.8891,0,0.0536396,0.0302734
31,0.605469,0.605469,8,96.3433,0,0.0551189,0.03125
32,0.625,0.625,6,106.096,0,0.0567492,0.0322266
33,0.644531,0.644531,4,116.052,0,0.0585337,0.0332031
34,0.664063,0.664063,4,126.18,0,0.0604749,0.0341797
35,0.683594,0.683594,2,136.448,0,0.0625752,0.0351563
36,0.703125,0.703125,4,146.825,0,0.0648362,0.0361328
37,0.722656,0.722656,10,157.246,0,0.0672594,0.0371094
38,0.742188,0.742188,9,167.57,0,0.069846,0.0380859
39,0.761719,0.761719,7,177.793,0,0.0725968,0.0390625
40,0.78125,0.78125,3,187.256,0,0.0754946,0.0400391
41,0.800781,0.800781,6,196.149,0,0.0785211,0.0410156
42,0.820313,0.820313,8,204.641,0,0.0816756,0.0419922
43,0.839844,0.839844,3,212.932,0,0.0849575,0.0429688
44,0.859375,0.859375,8,221.131,0,0.0883657,0.0439453
45,0.878906,0.878906,3,229.278,0,0.0918999,0.0449219
46,0.898438,0.898438,11,237.379,0,0.0955594,0.0458984
47,0.917969,0.917969,12,245.435,0,0.0993434,0.046875
48,0.9375,0.9375,9,253.448,0,0.103251,0.0478516
49,0.957031,0.957031,8,261.651,0,0.107282,0.0488281
50,0.976563,0.976563,9,269.604,0,0.111436,0.0498047
51,0.996094,0.996094,9,277.518,0,0.115712,0.0507813
52,1.01563,1.01563,12,285.364,0,0.12011,0.0517578
53,1.03516,1.03516,9,293.038,0,0.124628,0.0527344
54,1.05469,1.05469,15,300.272,0,0.129268,0.0537109
55,1.07422,1.07422,8,306.652,0,0.134027,0.0546875
56,1.09375,1.09375,13,311.834,0,0.138867,0.0556641
57,1.11328,1.11328,13,315.822,0,0.143749,0.0566406
58,1.13281,1.13281,7,318.955,0,0.14867,0.0576172
59,1.15234,1.15234,9,321.637,0,0.15363,0.0585938
60,1.17188,1.17188,15,324.121,0,0.158629,0.0595703
61,1.19141,1.19141,8,326.507,0,0.163664,0.0605469
62,1.21094,1.21094,10,328.823,0,0.168735,0.0615234
63,1.23047,1.23047,10,331.079,0,0.173841,0.0625
64,1.25,1.25,7,333.276,0,0.178982,0.0634766
65,1.26953,1.26953,6,335.42,0,0.184155,0.0644531
66,1.28906,1.28906,13,337.513,0,0.189361,0.0654297
67,1.30859,1.30859,12,339.554,0,0.194598,0.0664063
68,1.32813,1.32813,11,341.523,0,0.199867,0.0673828
69,1.34766,1.34766,15,343.352,0,0.205166,0.0683594
70,1.36719,1.36719,9,344.891,0,0.210495,0.0693359
71,1.38672,1.38672,13,345.926,0,0.215854,0.0703125
72,1.40625,1.40625,14,346.292,0,0.221218,0.0712891
73,1.42578,1.42578,10,345.994,0,0.226566,0.0722656
74,1.44531,1.44531,7,345.202,0,0.231896,0.0732422
75,1.46484,1.46484,9,344.104,0,0.237208,0.0742188
76,1.48438,1.48438,18,342.786,0,0.242501,0.0751953
77,1.50391,1.50391,19,341.167,0,0.247775,0.0761719
78,1.52344,1.52344,11,339.078,0,0.25303,0.0771484
79,1.54297,1.54297,9,336.485,0,0.258264,0.078125
80,1.5625,1.5625,12,333.672,0,0.263374,0.0791016
81,1.58203,1.58203,15,331.096,0,0.268466,0.0800781
82,1.60156,1.60156,5,329.019,0,0.273538,0.0810547
83,1.62109,1.62109,9,327.372,0,0.278591,0.0820313
84,1.64063,1.64063,6,326.272,0,0.283625,0.0830078
85,1.66016,1.66016,8,324.889,0,0.288638,0.0839844
86,1.67969,1.67969,15,323.446,0,0.293631,0.0849609
87,1.69922,1.69922,10,321.866,0,0.298603,0.0859375
88,1.71875,1.71875,14,320.113,0,0.303549,0.0869141
89,1.73828,1.73828,9,318.186,0,0.308462,0.0878906
90,1.75781,1.75781,15,316.121,0,0.313341,0.0888672
91,1.77734,1.77734,10,313.969,0,0.318187,0.0898438
92,1.79688,1.79688,14,311.767,0,0.322999,0.0908203
93,1.81641,1.81641,9,309.537,0,0.327777,0.0917969
