Energy (keV), Spectra Total
0.00976563, 1348
0.0292969, 536
0.0488281, 263
0.0683594, 123
0.0878906, 65
0.107422, 33
0.126953, 33
0.146484, 39
0.166016, 34
0.185547, 26
0.205078, 46
0.224609, 157
0.244141, 546
0.263672, 1383
0.283203, 1640
0.302734, 1132
0.322266, 390
0.341797, 66
0.361328, 8
0.380859, 5
0.400391, 5
0.419922, 2
0.439453, 3
0.458984, 0
0.478516, 2
0.498047, 2
0.517578, 1
0.537109, 3
0.556641, 0
0.576172, 4
0.595703, 3
0.615234, 8
0.634766, 6
0.654297, 4
0.673828, 4
0.693359, 2
0.712891, 4
0.732422, 10
0.751953, 9
0.771484, 7
0.791016, 3
0.810547, 6
0.830078, 8
0.849609, 3
0.869141, 8
0.888672, 3
0.908203, 11
0.927734, 12
0.947266, 9
0.966797, 8
0.986328, 9
1.00586, 9
1.02539, 12
1.04492, 9
1.06445, 15
1.08398, 8
1.10352, 13
1.12305, 13
1.14258, 7
1.16211, 9
1.18164, 15
1.20117, 8
1.2207, 10
1.24023, 10
1.25977, 7
1.2793, 6
1.29883, 13
1.31836, 12
1.33789, 11
1.35742, 15
1.37695, 9
1.39648, 13
1.41602, 14
1.43555, 10
1.45508, 7
1.47461, 9
1.49414, 18
1.51367, 19
1.5332, 11
1.55273, 9
1.57227, 12
1.5918, 15
1.61133, 5
1.63086, 9
1.65039, 6
1.66992, 8
1.68945, 15
1.70898, 10
1.72852, 14
1.74805, 9
1.76758, 15
1.78711, 10
1.80664, 14
1.82617, 9
1.8457, 15
1.86523, 11
1.88477, 12
1.9043, 10
1.92383, 9
1.94336, 11
1.96289, 6
1.98242, 6
2.00195, 19
2.02148, 9
2.04102, 14
2.06055, 10
2.08008, 7
2.09961, 14
2.11914, 7
2.13867, 7
2.1582, 14
2.17773, 9
2.19727, 8
2.2168, 11
2.23633, 16
2.25586, 8
2.27539, 6
2.29492, 18
2.31445, 9
2.33398, 8
2.35352, 5
2.37305, 9
2.39258, 15
2.41211, 6
2.43164, 6
2.45117, 4
2.4707, 10
2.49023, 6
2.50977, 10
2.5293, 10
2.54883, 11
2.56836, 9
2.58789, 4
2.60742, 6
2.62695, 8
2.64648, 3
2.66602, 10
2.68555, 5
2.70508, 8
2.72461, 8
2.74414, 8
2.76367, 10
2.7832, 1
2.80273, 3
2.82227, 10
2.8418, 8
2.86133, 5
2.88086, 9
2.90039, 6
2.91992, 13
2.93945, 6
2.95898, 5
2.97852, 2
2.99805, 4
3.01758, 8
3.03711, 4
3.05664, 7
3.07617, 5
3.0957, 9
3.11523, 9
3.13477, 10
3.1543, 3
3.17383, 10
3.19336, 6
3.21289, 1
3.23242, 4
3.25195, 6
3.27148, 7
3.29102, 8
3.31055, 7
3.33008, 4
3.34961, 7
3.36914, 8
3.38867, 8
3.4082, 4
3.42773, 4
3.44727, 6
3.4668, 4
3.48633, 9
3.50586, 3
3.52539, 5
3.54492, 8
3.56445, 7
3.58398, 4
3.60352, 5
3.62305, 5
3.64258, 2
3.66211, 1
3.68164, 1
3.70117, 5
3.7207, 3
3.74023, 2
3.75977, 5
3.7793, 4
3.79883, 6
3.81836, 3
3.83789, 6
3.85742, 3
3.87695, 3
3.89648, 8
3.91602, 8
3.93555, 3
3.95508, 4
3.97461, 1
3.99414, 7
4.01367, 3
4.0332, 4
4.05273, 7
4.07227, 10
4.0918, 3
4.11133, 4
4.13086, 2
4.15039, 3
4.16992, 1
4.18945, 3
4.20898, 8
4.22852, 2
4.24805, 3
4.26758, 3
4.28711, 3
4.30664, 4
4.32617, 8
4.3457, 3
4.36523, 6
4.38477, 6
4.4043, 4
4.42383, 3
4.44336, 4
4.46289, 2
4.48242, 2
4.50195, 3
4.52148, 0
4.54102, 2
4.56055, 2
4.58008, 5
4.59961, 6
4.61914, 2
