Trajectory index, Trajectory type, X (A), Y (A), Z (A), E (keV), indexRegion, collisionType
1, 3, -1.32635e-008, -5.95469e-008, 0, 10, 0, 1
1, 3, -1.32635e-008, -5.95469e-008, 50, 9.9505, 0, 2
1, 3, -1.32635e-008, -5.95469e-008, 51, 9.9505, 0, 3
2, 3, -1.98524e-008, -4.33216e-009, 0, 10, 0, 1
2, 3, -1.98524e-008, -4.33216e-009, 11.5458, 9.98857, 0, 5
2, 3, -0.0449121, -0.259779, 20.0009, 9.98019, 0, 5
2, 3, -0.207219, -1.35411, 32.6133, 9.96763, 0, 5
2, 3, -0.849743, -2.62239, 48.1696, 9.95213, 0, 5
2, 3, -0.923323, -2.74286, 50, 9.9503, 0, 2
2, 3, -0.963404, -2.80848, 50.997, 9.9503, 0, 3
3, 3, -2.5865e-008, 2.31285e-008, 0, 10, 0, 1
3, 3, -2.5865e-008, 2.31285e-008, 34.5169, 9.96583, 0, 5
3, 3, -0.00350359, -0.00490979, 34.806, 9.96554, 0, 5
3, 3, 0.0345886, 0.167593, 36.7219, 9.96363, 0, 5
3, 3, 9.71247, 4.92422, 50, 9.94665, 0, 2
3, 3, 10.2782, 5.2023, 50.7763, 9.94665, 0, 3
4, 3, 7.15905e-008, -5.65876e-008, 0, 10, 0, 1
4, 3, 7.15905e-008, -5.65876e-008, 4.78733, 9.99526, 0, 5
4, 3, 0.0839473, -0.0157598, 9.0231, 9.99106, 0, 5
4, 3, 0.953089, 2.07649, 33.8296, 9.96638, 0, 5
4, 3, 2.36158, 3.36763, 50, 9.95022, 0, 2
4, 3, 2.44809, 3.44692, 50.9931, 9.95022, 0, 3
5, 3, 4.75451e-008, -3.47738e-008, 0, 10, 0, 1
5, 3, 4.75451e-008, -3.47738e-008, 31.2103, 9.9691, 0, 5
5, 3, 0.8028, -0.723253, 50, 9.95042, 0, 2
5, 3, 0.845456, -0.761681, 50.9984, 9.95042, 0, 3
6, 3, -1.19111e-009, -2.82122e-008, 0, 10, 0, 1
6, 3, -1.19111e-009, -2.82122e-008, 50, 9.9505, 0, 2
6, 3, -1.19111e-009, -2.82122e-008, 51, 9.9505, 0, 3
7, 3, -9.72484e-008, 2.88039e-010, 0, 10, 0, 1
7, 3, -9.72484e-008, 2.88039e-010, 9.58524, 9.99051, 0, 5
7, 3, 0.805726, 0.0814834, 30.8713, 9.9694, 0, 5
7, 3, 0.936696, 3.05706, 50, 9.95019, 0, 2
7, 3, 0.943461, 3.21077, 50.9881, 9.95019, 0, 3
8, 3, -6.70807e-008, 2.21949e-008, 0, 10, 0, 1
8, 3, -6.70807e-008, 2.21949e-008, 8.51631, 9.99157, 0, 5
8, 3, -0.204939, 0.432248, 23.1751, 9.97704, 0, 5
8, 3, -0.0593355, 1.10366, 37.1652, 9.96315, 0, 5
8, 3, 1.06569, 1.40433, 50, 9.95035, 0, 2
8, 3, 1.15299, 1.42766, 50.9959, 9.95035, 0, 3
9, 3, -5.3887e-008, 4.56287e-008, 0, 10, 0, 1
9, 3, -5.3887e-008, 4.56287e-008, 1.35153, 9.99866, 0, 5
9, 3, -0.016321, 0.00896176, 3.71988, 9.99632, 0, 5
9, 3, 1.97555, 2.76362, 25.304, 9.97468, 0, 5
9, 3, 3.74183, 4.28473, 36.1048, 9.96372, 0, 5
9, 3, 5.06952, 4.76025, 45.1868, 9.95459, 0, 5
9, 3, 5.68713, 5.62244, 50, 9.9497, 0, 2
9, 3, 5.81244, 5.79738, 50.9766, 9.9497, 0, 3
