Trajectory index, Trajectory type, X (A), Y (A), Z (A), E (keV), indexRegion, collisionType
1, 1, -1.32635e-008, -5.95469e-008, 0, 10, 1, 1
1, 1, -1.32635e-008, -5.95469e-008, 50, 9.9505, 1, 2
1, 1, -1.32635e-008, -5.95469e-008, 159.964, 9.90221, 0, 5
1, 1, 4.75162, 3.87937, 267.634, 9.85468, 0, 5
1, 1, 5.32024, 5.52177, 318.107, 9.83234, 0, 5
1, 1, 8.53123, 12.5992, 434.506, 9.78064, 0, 5
1, 1, 20.4322, 15.4399, 631.817, 9.69268, 0, 5
1, 1, 21.7104, 22.9131, 706.261, 9.65915, 0, 5
1, 1, 15.8869, 32.0241, 787.553, 9.62231, 0, 5
1, 1, 14.0199, 34.5731, 805.552, 9.61407, 0, 5
1, 1, 13.526, 35.3344, 810.759, 9.61169, 0, 5
1, 1, -2.47, 64.3564, 993.233, 9.52806, 0, 5
1, 1, -2.64887, 65.2059, 997.154, 9.52623, 0, 5
1, 1, -23.2896, 109.418, 1248.85, 9.40982, 0, 5
1, 1, -24.0762, 120.014, 1333.8, 9.37059, 0, 5
1, 1, -26.5729, 127.794, 1392.04, 9.34354, 0, 5
1, 1, -34.1307, 157.768, 1561.12, 9.26433, 0, 5
1, 1, -36.1797, 167.714, 1641.07, 9.22695, 0, 5
1, 1, -38.7209, 171.586, 1648.8, 9.22276, 0, 5
1, 1, -54.576, 192.719, 1702.48, 9.19491, 0, 5
1, 1, -61.4271, 201.497, 1729.45, 9.18129, 0, 5
1, 1, -63.3428, 204.376, 1737.49, 9.17721, 0, 5
1, 1, -121.362, 276.889, 1939.47, 9.07334, 0, 5
1, 1, -136.001, 297.668, 1996.43, 9.04394, 0, 5
1, 1, -151.796, 327.334, 2072.57, 9.00462, 0, 5
1, 1, -156.418, 333.921, 2090.68, 8.99523, 0, 5
1, 1, -158.598, 337.026, 2098.98, 8.9909, 0, 5
1, 1, -159.576, 338.58, 2102.29, 8.9891, 0, 5
1, 1, -180.686, 374.16, 2174.33, 8.94966, 0, 5
1, 1, -180.982, 374.575, 2175.26, 8.94916, 0, 5
1, 1, -187.335, 379.834, 2188.78, 8.94162, 0, 5
1, 1, -189.31, 381.088, 2192.9, 8.93936, 0, 5
1, 1, -218.783, 494.445, 2376.9, 8.83538, 0, 5
1, 1, -224.579, 519.995, 2425.9, 8.80866, 0, 5
1, 1, -226.257, 556.544, 2493.33, 8.77167, 0, 5
1, 1, -223.868, 569.565, 2522.65, 8.75611, 0, 5
1, 1, -224.224, 572.967, 2530.89, 8.7518, 0, 5
1, 1, -229.247, 597.505, 2585.33, 8.72276, 0, 5
1, 1, -237.451, 631.724, 2686.3, 8.67083, 0, 5
1, 1, -248.792, 672.432, 2808.54, 8.60772, 0, 5
1, 1, -251.201, 680.65, 2830.9, 8.59597, 0, 5
1, 1, -268.767, 726.802, 2952.74, 8.5314, 0, 5
1, 1, -269.834, 730.986, 2962.35, 8.5262, 0, 5
1, 1, -271.449, 735.304, 2969.67, 8.52192, 0, 5
1, 1, -272.196, 747.234, 2991.45, 8.50964, 0, 5
1, 1, -277.771, 831.032, 3158.73, 8.417, 0, 5
1, 1, -274.907, 857.505, 3208.88, 8.38866, 0, 5
1, 1, -275.623, 867.675, 3225.54, 8.37889, 0, 5
1, 1, -287.768, 1020.61, 3463.05, 8.23728, 0, 5
1, 1, -289.342, 1032.15, 3480.7, 8.22655, 0, 5
1, 1, -300.664, 1075.59, 3556.87, 8.18165, 0, 5
1, 1, -301.265, 1077.54, 3561, 8.1793, 0, 5
1, 1, -309.005, 1109.64, 3620.09, 8.14478, 0, 5
1, 1, -311.881, 1122.46, 3643.11, 8.13121, 0, 5
1, 1, -315.291, 1254.3, 3852.5, 8.00443, 0, 5
1, 1, -315.735, 1272.33, 3878.47, 7.98803, 0, 5
1, 1, -318.036, 1289.46, 3911.7, 7.96858, 0, 5
1, 1, -322.915, 1318.22, 3965.75, 7.93663, 0, 5
1, 1, -323.236, 1323.33, 3974.88, 7.93117, 0, 5
1, 1, -327.476, 1369.05, 4049.27, 7.88552, 0, 5
1, 1, -327.735, 1373.23, 4055.92, 7.8814, 0, 5
1, 1, -327.856, 1377.91, 4062.5, 7.87716, 0, 5
1, 1, -321.565, 1443.54, 4137.69, 7.82468, 0, 5
1, 1, -313.259, 1489.17, 4186.37, 7.78921, 0, 5
1, 1, -312.518, 1496.72, 4194.17, 7.78345, 0, 5
1, 1, -269.617, 1743.39, 4449.91, 7.59391, 0, 5
1, 1, -266.12, 1761.84, 4468.22, 7.57976, 0, 5
1, 1, -228.849, 1755.32, 4486.57, 7.55704, 0, 5
1, 1, -209.373, 1750.55, 4496.1, 7.54501, 0, 5
1, 1, -35.542, 1699.01, 4558.7, 7.44101, 0, 5
1, 1, 185.844, 1646.12, 4645.01, 7.30764, 0, 5
1, 1, 193.822, 1643.28, 4648.13, 7.30262, 0, 5
1, 1, 316.335, 1594.68, 4697.04, 7.2245, 0, 5
1, 1, 318.858, 1593.21, 4697.67, 7.22283, 0, 5
1, 1, 332.902, 1585.47, 4700.8, 7.21367, 0, 5
1, 1, 416.737, 1544.14, 4743.63, 7.15601, 0, 5
1, 1, 418.039, 1543.2, 4744.03, 7.15507, 0, 5
1, 1, 492.699, 1490.65, 4766.64, 7.102, 0, 5
1, 1, 555.899, 1443.05, 4782.93, 7.05615, 0, 5
1, 1, 582.726, 1418.8, 4802.03, 7.03283, 0, 5
1, 1, 585.065, 1417.17, 4803.27, 7.03106, 0, 5
1, 1, 803.812, 1305.88, 4934.21, 6.872, 0, 5
1, 1, 817.025, 1299.03, 4940.55, 6.8626, 0, 5
1, 1, 848.657, 1282.63, 4954.86, 6.84024, 0, 5
1, 1, 869.174, 1275.65, 4966.94, 6.82576, 0, 5
1, 1, 970.716, 1244.87, 5020.51, 6.75627, 0, 5
1, 1, 1000.29, 1236.15, 5038.88, 6.73513, 0, 5
